时间,开盘,收盘,最高,最低,成交量,成交额,均价
2026-04-20 09:30:00,0.0,48.71,48.71,48.71,4493,21885403.0,48.71
2026-04-20 09:31:00,0.0,48.84,48.94,48.51,14090,68627405.0,48.707
2026-04-20 09:32:00,0.0,48.99,49.05,48.48,10084,49171718.0,48.727
2026-04-20 09:33:00,0.0,49.18,49.3,49.0,6910,33953444.0,48.806
2026-04-20 09:34:00,0.0,49.44,49.48,49.21,7742,38142629.0,48.888
2026-04-20 09:35:00,0.0,49.33,49.5,49.23,8035,39689021.0,48.967
2026-04-20 09:36:00,0.0,49.38,49.51,49.3,6817,33708499.0,49.023
2026-04-20 09:37:00,0.0,49.26,49.38,49.12,5624,27675444.0,49.04
2026-04-20 09:38:00,0.0,49.21,49.36,49.18,4823,23756283.0,49.055
2026-04-20 09:39:00,0.0,49.35,49.35,49.21,3292,16218807.0,49.065
2026-04-20 09:40:00,0.0,49.2,49.35,49.19,4993,24583507.0,49.076
2026-04-20 09:41:00,0.0,49.6,49.6,49.19,4940,24383369.0,49.093
2026-04-20 09:42:00,0.0,49.5,49.77,49.44,6379,31643721.0,49.13
2026-04-20 09:43:00,0.0,49.55,49.62,49.4,4773,23629919.0,49.149
2026-04-20 09:44:00,0.0,49.7,49.7,49.49,3419,16956307.0,49.165
2026-04-20 09:45:00,0.0,49.69,49.9,49.69,9324,46438327.0,49.222
2026-04-20 09:46:00,0.0,49.84,49.84,49.7,5086,25304014.0,49.246
2026-04-20 09:47:00,0.0,49.75,49.84,49.65,4364,21699158.0,49.264
2026-04-20 09:48:00,0.0,49.76,49.76,49.66,3148,15652618.0,49.276
2026-04-20 09:49:00,0.0,49.65,49.79,49.63,3641,18091598.0,49.289
2026-04-20 09:50:00,0.0,50.11,50.14,49.67,7220,36031625.0,49.323
2026-04-20 09:51:00,0.0,50.36,50.38,50.13,9539,47873119.0,49.383
2026-04-20 09:52:00,0.0,50.2,50.45,50.19,8454,42568222.0,49.439
2026-04-20 09:53:00,0.0,50.13,50.21,50.04,4352,21810150.0,49.458
2026-04-20 09:54:00,0.0,50.12,50.14,50.02,4126,20667446.0,49.475
2026-04-20 09:55:00,0.0,50.23,50.25,50.13,4461,22397931.0,49.495
2026-04-20 09:56:00,0.0,50.04,50.14,50.0,3790,18963399.0,49.508
2026-04-20 09:57:00,0.0,50.16,50.17,50.09,2154,10797094.0,49.516
2026-04-20 09:58:00,0.0,50.14,50.24,50.12,3300,16564821.0,49.529
2026-04-20 09:59:00,0.0,50.2,50.2,50.14,1890,9482706.0,49.536
2026-04-20 10:00:00,0.0,50.12,50.22,50.12,2575,12918746.0,49.546
2026-04-20 10:01:00,0.0,50.03,50.13,50.01,5837,29204322.0,49.562
2026-04-20 10:02:00,0.0,50.35,50.35,50.04,3057,15355777.0,49.573
