时间,开盘,收盘,最高,最低,成交量,成交额,均价,hhmm
2026-04-24 09:30:00,46.89,46.89,46.89,46.89,5223,24490647.0,46.89,09:30
2026-04-24 09:31:00,46.83,46.62,47.0,46.23,10869,50570060.0,46.645,09:31
2026-04-24 09:32:00,46.59,46.15,46.59,46.15,8124,37691689.0,46.56,09:32
2026-04-24 09:33:00,46.11,46.1,46.19,45.89,15485,71295098.0,46.358,09:33
2026-04-24 09:34:00,46.05,45.69,46.17,45.62,9198,42244632.0,46.277,09:34
2026-04-24 09:35:00,45.69,45.76,45.8,45.6,12002,54829460.0,46.16,09:35
2026-04-24 09:36:00,45.76,45.71,45.8,45.63,7862,35928302.0,46.107,09:36
2026-04-24 09:37:00,45.59,45.38,45.59,45.31,10532,47852740.0,46.018,09:37
2026-04-24 09:38:00,45.36,45.03,45.36,45.02,9531,43068774.0,45.929,09:38
2026-04-24 09:39:00,45.08,45.18,45.2,45.01,10365,46720185.0,45.84,09:39
2026-04-24 09:40:00,45.19,45.22,45.23,45.13,5067,22885213.0,45.807,09:40
2026-04-24 09:41:00,45.28,45.08,45.29,45.08,4510,20393118.0,45.782,09:41
2026-04-24 09:42:00,45.08,45.24,45.28,44.96,9827,44287752.0,45.723,09:42
2026-04-24 09:43:00,45.24,45.46,45.46,45.24,4209,19057519.0,45.708,09:43
2026-04-24 09:44:00,45.5,45.61,45.67,45.5,3018,13764798.0,45.706,09:44
2026-04-24 09:45:00,45.6,45.58,45.6,45.4,3418,15556382.0,45.7,09:45
2026-04-24 09:46:00,45.61,45.68,45.77,45.6,3465,15821240.0,45.7,09:46
2026-04-24 09:47:00,45.66,45.57,45.73,45.57,3115,14222577.0,45.699,09:47
2026-04-24 09:48:00,45.57,45.37,45.57,45.35,3527,16012656.0,45.691,09:48
2026-04-24 09:49:00,45.4,45.48,45.58,45.4,3712,16893038.0,45.686,09:49
2026-04-24 09:50:00,45.46,45.4,45.5,45.37,2413,10968661.0,45.683,09:50
2026-04-24 09:51:00,45.4,45.3,45.4,45.28,2290,10379122.0,45.677,09:51
2026-04-24 09:52:00,45.3,45.4,45.41,45.3,2268,10288159.0,45.672,09:52
2026-04-24 09:53:00,45.47,45.34,45.47,45.32,1739,7888631.0,45.669,09:53
2026-04-24 09:54:00,45.35,45.45,45.5,45.35,2626,11928002.0,45.664,09:54
2026-04-24 09:55:00,45.43,45.49,45.49,45.37,1210,5495823.0,45.662,09:55
2026-04-24 09:56:00,45.49,45.36,45.52,45.36,1789,8125443.0,45.66,09:56
2026-04-24 09:57:00,45.37,45.38,45.4,45.34,1478,6703331.0,45.657,09:57
2026-04-24 09:58:00,45.37,45.49,45.5,45.37,1677,7620163.0,45.655,09:58
2026-04-24 09:59:00,45.49,45.53,45.53,45.45,1151,5233757.0,45.653,09:59
2026-04-24 10:00:00,45.53,45.59,45.59,45.5,1041,4740987.0,45.653,10:00
2026-04-24 10:01:00,45.58,45.39,45.58,45.39,1662,7552016.0,45.65,10:01
2026-04-24 10:02:00,45.39,45.44,45.49,45.36,2266,10293305.0,45.647,10:02
2026-04-24 10:03:00,45.44,45.34,45.44,45.34,1537,6972916.0,45.645,10:03
2026-04-24 10:04:00,45.34,45.4,45.45,45.32,2687,12187825.0,45.64,10:04
2026-04-24 10:05:00,45.39,45.42,45.42,45.31,1832,8309128.0,45.637,10:05
2026-04-24 10:06:00,45.34,45.23,45.34,45.21,2852,12909921.0,45.631,10:06
2026-04-24 10:07:00,45.25,45.17,45.25,45.17,1917,8664765.0,45.627,10:07
2026-04-24 10:08:00,45.18,45.21,45.22,45.17,2173,9819841.0,45.621,10:08
2026-04-24 10:09:00,45.23,45.29,45.3,45.21,1907,8626468.0,45.617,10:09
2026-04-24 10:10:00,45.27,45.3,45.31,45.27,1191,5393439.0,45.615,10:10
2026-04-24 10:11:00,45.29,45.33,45.33,45.26,993,4496552.0,45.613,10:11
2026-04-24 10:12:00,45.36,45.3,45.39,45.29,666,3018533.0,45.612,10:12
2026-04-24 10:13:00,45.27,45.28,45.3,45.25,1316,5958000.0,45.61,10:13
2026-04-24 10:14:00,45.27,45.36,45.36,45.27,1176,5325786.0,45.608,10:14
2026-04-24 10:15:00,45.36,45.44,45.48,45.36,1695,7692259.0,45.606,10:15
2026-04-24 10:16:00,45.47,45.51,45.53,45.45,1142,5194852.0,45.605,10:16
2026-04-24 10:17:00,45.51,45.55,45.56,45.49,1097,4993818.0,45.605,10:17
2026-04-24 10:18:00,45.54,45.53,45.55,45.53,165,751437.0,45.605,10:18
