时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-03-11 09:35:00,51.92,51.61,52.01,51.41,-0.52,-0.27,19202,99322695.0,1.16,0.5
2026-03-11 09:40:00,51.58,51.54,51.64,51.29,-0.14,-0.07,14834,76280064.0,0.68,0.39
2026-03-11 09:45:00,51.57,51.27,51.73,51.27,-0.52,-0.27,7789,40113629.0,0.89,0.2
2026-03-11 09:50:00,51.29,51.19,51.3,50.91,-0.16,-0.08,10711,54774732.0,0.76,0.28
2026-03-11 09:55:00,51.19,51.08,51.34,51.08,-0.21,-0.11,5971,30588151.0,0.51,0.16
2026-03-11 10:00:00,51.06,50.86,51.1,50.84,-0.43,-0.22,8163,41608692.0,0.51,0.21
2026-03-11 10:05:00,50.88,50.84,50.94,50.7,-0.04,-0.02,10438,53042961.0,0.47,0.27
2026-03-11 10:10:00,50.84,50.54,50.85,50.48,-0.59,-0.3,12251,62020638.0,0.73,0.32
2026-03-11 10:15:00,50.53,50.65,50.65,50.52,0.22,0.11,5618,28410733.0,0.26,0.15
2026-03-11 10:20:00,50.66,50.6,50.72,50.58,-0.1,-0.05,4415,22367047.0,0.28,0.12
2026-03-11 10:25:00,50.6,50.77,50.84,50.58,0.34,0.17,4035,20479601.0,0.51,0.11
2026-03-11 10:30:00,50.77,50.64,50.86,50.6,-0.26,-0.13,3450,17506426.0,0.51,0.09
2026-03-11 10:35:00,50.65,50.71,50.76,50.6,0.14,0.07,3002,15206460.0,0.32,0.08
2026-03-11 10:40:00,50.71,50.49,50.72,50.49,-0.43,-0.22,5640,28516261.0,0.45,0.15
2026-03-11 10:45:00,50.49,50.64,50.7,50.49,0.3,0.15,2843,14387539.0,0.42,0.07
2026-03-11 10:50:00,50.64,50.62,50.66,50.59,-0.04,-0.02,2381,12052725.0,0.14,0.06
2026-03-11 10:55:00,50.61,50.58,50.62,50.5,-0.08,-0.04,3656,18477655.0,0.24,0.1
2026-03-11 11:00:00,50.59,50.54,50.61,50.51,-0.08,-0.04,3039,15368648.0,0.2,0.08
2026-03-11 11:05:00,50.54,50.49,50.57,50.4,-0.1,-0.05,4325,21835836.0,0.34,0.11
2026-03-11 11:10:00,50.5,50.55,50.58,50.47,0.12,0.06,2490,12577149.0,0.22,0.07
2026-03-11 11:15:00,50.55,50.75,50.76,50.54,0.4,0.2,2321,11758039.0,0.44,0.06
2026-03-11 11:20:00,50.75,50.48,50.76,50.48,-0.53,-0.27,2354,11915245.0,0.55,0.06
2026-03-11 11:25:00,50.46,50.49,50.49,50.33,0.02,0.01,3051,15380194.0,0.32,0.08
2026-03-11 11:30:00,50.52,50.54,50.57,50.47,0.1,0.05,1547,7814426.0,0.2,0.04
2026-03-11 13:05:00,50.53,50.59,50.67,50.51,0.1,0.05,4605,23310818.0,0.32,0.12
2026-03-11 13:10:00,50.58,50.54,50.66,50.53,-0.1,-0.05,2967,15009606.0,0.26,0.08
2026-03-11 13:15:00,50.55,50.55,50.6,50.53,0.02,0.01,1523,7700466.0,0.14,0.04
2026-03-11 13:20:00,50.53,50.6,50.62,50.5,0.1,0.05,3338,16870568.0,0.24,0.09
2026-03-11 13:25:00,50.61,50.48,50.62,50.48,-0.24,-0.12,1970,9954648.0,0.28,0.05
2026-03-11 13:30:00,50.48,50.32,50.51,50.32,-0.32,-0.16,2939,14816714.0,0.38,0.08
2026-03-11 13:35:00,50.33,50.3,50.36,50.25,-0.04,-0.02,4967,24988534.0,0.22,0.13
2026-03-11 13:40:00,50.3,50.19,50.33,50.19,-0.22,-0.11,4275,21480167.0,0.28,0.11
2026-03-11 13:45:00,50.18,50.19,50.25,50.15,0.0,0.0,3863,19389558.0,0.2,0.1
2026-03-11 13:50:00,50.19,50.15,50.26,50.15,-0.08,-0.04,2472,12409027.0,0.22,0.06
2026-03-11 13:55:00,50.14,50.09,50.22,50.07,-0.12,-0.06,4537,22746955.0,0.3,0.12
2026-03-11 14:00:00,50.09,50.16,50.18,50.06,0.14,0.07,2866,14364283.0,0.24,0.08
2026-03-11 14:05:00,50.17,50.19,50.26,50.17,0.06,0.03,2126,10674967.0,0.18,0.06
2026-03-11 14:10:00,50.17,50.15,50.19,50.12,-0.08,-0.04,3289,16490318.0,0.14,0.09
2026-03-11 14:15:00,50.15,50.11,50.15,50.09,-0.08,-0.04,2447,12262097.0,0.12,0.06
