日期,开盘,最高,最低,收盘,成交量,成交额,昨收,高开%,日涨跌%,日振幅%,VWAP,成交额_亿,成交量_万手,5日均量_万手,量比
2026-04-03,42.94,42.95,41.3,41.3,233464,977781071.0,,,,,41.88,9.78,23.3,,
2026-04-07,41.74,43.25,41.33,41.93,183525,773805024.0,41.3,1.07,1.53,4.65,42.16,7.74,18.4,,
2026-04-08,43.69,48.99,43.19,48.88,768986,3612624714.0,41.93,4.2,16.58,13.83,46.98,36.13,76.9,,
2026-04-09,47.0,47.69,45.7,46.13,598878,2773610923.0,48.88,-3.85,-5.63,4.07,46.31,27.74,59.9,,
2026-04-10,46.4,46.97,45.82,45.88,337406,1559985776.0,46.13,0.59,-0.54,2.49,46.23,15.6,33.7,42.4,
2026-04-13,45.0,46.26,44.51,45.5,266053,1208302233.0,45.88,-1.92,-0.83,3.81,45.42,12.08,26.6,43.1,0.63
2026-04-14,46.42,49.02,46.41,47.96,603589,2885127924.0,45.5,2.02,5.41,5.74,47.8,28.85,60.4,51.5,1.4
2026-04-15,48.21,48.26,45.82,46.1,379310,1776929330.0,47.96,0.52,-3.88,5.09,46.85,17.77,37.9,43.7,0.74
2026-04-16,46.81,48.48,46.81,47.58,414031,1970108565.0,46.1,1.54,3.21,3.62,47.58,19.7,41.4,40.0,0.95
2026-04-17,46.82,49.16,46.5,48.94,492600,2373002396.0,47.58,-1.6,2.86,5.59,48.17,23.73,49.3,43.1,1.23
2026-04-20,48.71,52.6,48.48,50.89,650768,3298011311.0,48.94,-0.47,3.98,8.42,50.68,32.98,65.1,50.8,1.51
2026-04-21,50.89,50.89,48.8,49.22,430067,2129940522.0,50.89,0.0,-3.28,4.11,49.53,21.3,43.0,47.3,0.85
2026-04-22,49.11,49.92,48.03,48.74,349904,1703796793.0,49.22,-0.22,-0.98,3.84,48.69,17.04,35.0,46.8,0.74
2026-04-23,49.2,49.48,47.49,47.6,419145,2027012055.0,48.74,0.94,-2.34,4.08,48.36,20.27,41.9,46.9,0.9
2026-04-24,46.89,47.0,44.96,45.3,184183,840106287.0,47.6,-1.49,-4.83,4.29,45.61,8.4,18.4,40.7,0.39
